# 墨言语料库
#
# 每行一条，格式：句子 | 出处
# - 句子不超过 30 字，出处尽量简短（书名/篇名/作品名）
# - 以 # 开头的行和空行会被忽略
# - 直接编辑本文件即可增删语料：保存后刷新页面立即生效（无需重启 dsh web）
# - 分隔符用半角 | 或全角 ｜ 均可
#
# 分区仅供人工阅读参考，程序不关心分区。
# == 古诗词 / 古文 ==
路漫漫其修远兮，吾将上下而求索。 | 屈原《离骚》
会当凌绝顶，一览众山小。 | 杜甫《望岳》
天生我材必有用，千金散尽还复来。 | 李白《将进酒》
长风破浪会有时，直挂云帆济沧海。 | 李白《行路难》
山重水复疑无路，柳暗花明又一村。 | 陆游《游山西村》
海内存知己，天涯若比邻。 | 王勃《送杜少府之任蜀州》
莫愁前路无知己，天下谁人不识君。 | 高适《别董大》
落红不是无情物，化作春泥更护花。 | 龚自珍《己亥杂诗》
问渠那得清如许，为有源头活水来。 | 朱熹《观书有感》
等闲识得东风面，万紫千红总是春。 | 朱熹《春日》
纸上得来终觉浅，绝知此事要躬行。 | 陆游《冬夜读书示子聿》
千磨万击还坚劲，任尔东西南北风。 | 郑燮《竹石》
不畏浮云遮望眼，自缘身在最高层。 | 王安石《登飞来峰》
沉舟侧畔千帆过，病树前头万木春。 | 刘禹锡《酬乐天》
无可奈何花落去，似曾相识燕归来。 | 晏殊《浣溪沙》
竹杖芒鞋轻胜马，谁怕？一蓑烟雨任平生。 | 苏轼《定风波》
回首向来萧瑟处，归去，也无风雨也无晴。 | 苏轼《定风波》
人生如逆旅，我亦是行人。 | 苏轼《临江仙》
且将新火试新茶，诗酒趁年华。 | 苏轼《望江南》
春风得意马蹄疾，一日看尽长安花。 | 孟郊《登科后》
寄蜉蝣于天地，渺沧海之一粟。 | 苏轼《赤壁赋》
大鹏一日同风起，扶摇直上九万里。 | 李白《上李邕》
仰天大笑出门去，我辈岂是蓬蒿人。 | 李白《南陵别儿童入京》
醉后不知天在水，满船清梦压星河。 | 唐珙《题龙阳县青草湖》
黑发不知勤学早，白首方悔读书迟。 | 颜真卿《劝学》
欲穷千里目，更上一层楼。 | 王之涣《登鹳雀楼》
千淘万漉虽辛苦，吹尽狂沙始到金。 | 刘禹锡《浪淘沙》
不识庐山真面目，只缘身在此山中。 | 苏轼《题西林壁》
梅须逊雪三分白，雪却输梅一段香。 | 卢钺《雪梅》
苔花如米小，也学牡丹开。 | 袁枚《苔》
野火烧不尽，春风吹又生。 | 白居易《赋得古原草送别》
及时当勉励，岁月不待人。 | 陶渊明《杂诗》
海阔凭鱼跃，天高任鸟飞。 | 《增广贤文》
# == 名著 / 名句 ==
真的勇士，敢于直面惨淡的人生。 | 鲁迅《记念刘和珍君》
世上本没有路，走的人多了，也便成了路。 | 鲁迅《故乡》
幸福的家庭都是相似的，不幸的家庭各有各的不幸。 | 《安娜·卡列尼娜》
人可以被毁灭，但不能被打败。 | 《老人与海》
生存还是毁灭，这是一个问题。 | 《哈姆雷特》
凡是过往，皆为序章。 | 莎士比亚《暴风雨》
如果冬天来了，春天还会远吗？ | 雪莱《西风颂》
重要的东西用眼睛是看不见的。 | 《小王子》
星星发亮，是为了让每个人找到属于自己的星星。 | 《小王子》
满地都是六便士，他却抬头看见了月亮。 | 《月亮与六便士》
黑夜给了我黑色的眼睛，我却用它寻找光明。 | 顾城《一代人》
面朝大海，春暖花开。 | 海子《面朝大海》
生如夏花之绚烂，死如秋叶之静美。 | 泰戈尔《飞鸟集》
世界以痛吻我，我要报之以歌。 | 泰戈尔《飞鸟集》
天空没有留下翅膀的痕迹，但我已飞过。 | 泰戈尔《飞鸟集》
人是为活着本身而活着的。 | 余华《活着》
生活不止眼前的苟且，还有诗和远方。 | 《生活不止眼前的苟且》
我思故我在。 | 笛卡尔《谈谈方法》
认识你自己。 | 德尔斐神谕
未哭过长夜的人，不足以语人生。 | 歌德
真正的英雄主义，是认清生活真相后依然热爱生活。 | 罗曼·罗兰
我荒废了时间，时间便把我荒废了。 | 莎士比亚《理查二世》
人是一根会思想的芦苇。 | 帕斯卡《思想录》
谁终将声震人间，必长久深自缄默。 | 尼采
# == 文学作品（扩充） ==
生命是一袭华美的袍，爬满了蚤子。 | 张爱玲《天才梦》
于千万人之中遇见你所要遇见的人。 | 张爱玲《爱》
我行过许多地方的桥，看过许多次数的云。 | 沈从文《从文家书》
命定的局限尽可永在，不屈的挑战却不可须臾或缺。 | 史铁生《病隙碎笔》
一个人只拥有此生此世是不够的，他还应该拥有诗意的世界。 | 王小波《万寿寺》
从前的日色变得慢，车，马，邮件都慢，一生只够爱一个人。 | 木心《云雀叫了一整天》
生活是种律动，须有光有影，有左有右，有晴有雨。 | 老舍《小病》
不乱于心，不困于情，不畏将来，不念过往。 | 丰子恺《不宠无惊过一生》
你走，我不送你；你来，无论多大风多大雨，我要去接你。 | 梁实秋《送行》
人一定要爱着点什么，恰似草木对光阴的钟情。 | 汪曾祺《人间草木》
卑鄙是卑鄙者的通行证，高尚是高尚者的墓志铭。 | 北岛《回答》
与其在悬崖上展览千年，不如在爱人肩头痛哭一晚。 | 舒婷《神女峰》
青春是一本太仓促的书。 | 席慕蓉《青春》
每想你一次，天上飘落一粒沙，从此形成了撒哈拉。 | 三毛《撒哈拉的故事》
他强由他强，清风拂山岗；他横由他横，明月照大江。 | 金庸《倚天屠龙记》
生活不能等待别人来安排，要自己去争取和奋斗。 | 路遥《平凡的世界》
世界上的事情，最忌讳的就是个十全十美。 | 莫言《檀香刑》
世界是美好的，值得我们为之奋斗。 | 海明威《丧钟为谁而鸣》
在隆冬，我终于知道，我身上有一个不可战胜的夏天。 | 加缪《夏天集》
重要的不是治愈，而是带着病痛活下去。 | 加缪《西西弗神话》
回忆是一条没有归途的路。 | 马尔克斯《百年孤独》
爱是一种不死的欲望，是疲惫生活中的英雄梦想。 | 杜拉斯《情人》
我心里一直都在暗暗设想，天堂应该是图书馆的模样。 | 博尔赫斯《关于天赐的诗》
我们都生活在阴沟里，但仍有人仰望星空。 | 王尔德《温德米尔夫人的扇子》
这是最好的时代，这是最坏的时代。 | 狄更斯《双城记》
死并非生的对立面，而是作为生的一部分永存。 | 村上春树《挪威的森林》
人不是因为美丽才可爱，而是因为可爱才美丽。 | 列夫·托尔斯泰
人的一切都应该是美丽的：面貌、衣裳、心灵、思想。 | 契诃夫《万尼亚舅舅》
人最宝贵的是生命，生命属于人只有一次。 | 奥斯特洛夫斯基《钢铁是怎样炼成的》
世界上任何一本书都不能带给你好运，但它们能让你成为自己。 | 赫尔曼·黑塞
# == 其他 / 名言 ==
探索未至之境 | 深度求索公司
为此，我准备了一百口棺材，其中一口，留给自己。 | 朱镕基
# == 游戏 / 动漫台词 ==
犹豫，就会败北。 | 《只狼》
万物皆虚，万事皆允。 | 《刺客信条》
愿风指引你的道路。 | 《魔兽世界》
时间就是金钱，我的朋友。 | 《魔兽世界》
愿圣光与你同在。 | 《魔兽世界》
战争，战争从未改变。 | 《辐射》
赞美太阳！ | 《黑暗之魂》
即使引导早已破碎，也请当上艾尔登之王。 | 《艾尔登法环》
夜之城没有活着的传奇。 | 《赛博朋克2077》
这个世界需要更多的英雄！ | 《守望先锋》
这一切都是命运石之门的选择！ | 《命运石之门》
人类的赞歌，就是勇气的赞歌。 | 《JOJO的奇妙冒险》
人被杀，就会死。 | 《Fate/stay night》
一切恐惧，源于火力不足。 | 游戏圈名梗
